Sample	fws	bin_0	bin_1	bin_2	bin_3	bin_4	bin_5	bin_6	bin_7	bin_8	bin_9
VVX01945	0.99766994	1.3588129e-05	0.0005243132	0.00048767828	0.00063236326	0.0010137346	0.00094263075	0.0007244966	0.0016556992	0.00071101374	0.0011229529
VVX01946	0.96190184	0.0011338259	0.011260519	0.011106636	0.013194606	0.012172383	0.013819469	0.014944783	0.021942	0.01644348	0.016364139
VVX01947	0.99464846	9.530342e-06	0.0010923105	0.0016905477	0.0020140875	0.0022896018	0.004199416	0.002834117	0.0015170458	0.002282423	0.0009259993
VVX01948	0.99957335	5.739127e-06	0.00021258803	0.00025975407	0.0	0.0004405315	0.0	0.00035557398	0.00010253571	0.00025264197	0.0
VVX01951	0.9965838	3.789176e-06	0.00015509018	0.0007104269	0.0016036476	0.0019317041	0.003731663	0.0028319138	0.00040064103	0.00038325394	0.00023129686
VVX01954	0.96025604	0.0011341796	0.010386139	0.009368752	0.011483668	0.01353122	0.016859254	0.018374614	0.016716495	0.019339252	0.01838431
VVX01955	0.9991367	3.3205567e-06	0.000167806	0.00041388336	7.617801e-05	0.00016314037	0.0	0.00029902864	0.0	0.0016817957	0.0
VVX01961	0.999109	4.206322e-06	0.00016995211	0.0005240401	0.0007349145	0.00051747024	0.0	0.00019705218	0.00031822541	0.000675074	0.00017633972
VVX01964	0.99326146	1.2377026e-05	0.0015682356	0.0018308022	0.0029042147	0.003033399	0.0040271976	0.0041643362	0.0024462983	0.0028300376	0.0009478957
VVX01965	0.9551833	0.0001355892	0.007011256	0.0108996965	0.013266706	0.016406767	0.017524514	0.01965447	0.020388536	0.020368902	0.022944365
VVX01966	0.9915668	0.00017621255	0.0015269346	0.0017956501	0.0015861106	0.0033642417	0.004970849	0.0038001426	0.002486129	0.0055796285	0.0028350607
VVX01967	0.9956389	1.725656e-05	0.0011861818	0.0009745709	0.0014009072	0.0015220431	0.001249763	0.0011974832	0.002088122	0.0036076354	0.0014264747
VVX01968	0.5716703	0.0011573661	0.056175675	0.09704388	0.12818086	0.14170071	0.16267313	0.17432939	0.20857571	0.21052988	0.22228971
VVX01969	0.99604195	3.973675e-06	0.0005793814	0.0012573597	0.0016078678	0.0021333508	0.004199114	0.0029268223	0.00068276096	0.0003638916	0.00047514055
VVX01970	0.9961673	7.659145e-06	0.00057153695	0.0011332127	0.0018135776	0.0021359988	0.0044440115	0.0029462937	0.00057162583	7.6366065e-05	0.0002516511
VVX01971	0.9184702	0.00021349933	0.011869548	0.01872902	0.024052136	0.026164977	0.030714266	0.037483085	0.03629529	0.037803676	0.044490807
VVX01972	0.99574167	0.00015223707	0.0015418456	0.00082735554	0.00059056625	0.0019221611	0.00070052757	0.0021646244	0.0008330155	0.0042010103	0.0014947142
VVX01973	0.7904191	0.0006580664	0.027527949	0.043938812	0.062293977	0.07250882	0.07989708	0.08775617	0.093646385	0.10595137	0.11093685
VVX01974	0.9997666	1.3065788e-06	0.0002073205	4.0971987e-05	0.0	0.00025878692	0.0	0.0004165527	0.0	0.0	0.0
VVX01975	0.8861636	0.00034662176	0.0155176865	0.025066491	0.030357275	0.034142934	0.04301916	0.0468619	0.05698463	0.05898919	0.05908992
VVX01979	0.9409526	0.0019516058	0.017507488	0.012303764	0.019108782	0.024325646	0.024654802	0.031543277	0.024186024	0.022859104	0.026280828
VVX01980	0.9996234	1.6251322e-05	0.00014416827	0.0	0.0	0.0006653839	0.00015390494	0.00042566238	0.0	0.0	0.0
VVX01983	0.8539085	0.00039742497	0.019218236	0.033999417	0.044214375	0.051054716	0.05762109	0.06475491	0.06612331	0.07522971	0.06822309
VVX01984	0.6902887	0.00083786936	0.04021611	0.068052046	0.08331522	0.11130418	0.11439095	0.1444486	0.14289668	0.15032773	0.15666963
VVX01987	0.99533534	1.37341185e-05	0.0002866314	5.959751e-05	0.00033147258	0.00020624298	0.003934348	0.00057382317	0.0016561791	0.0067928866	0.00010264223
VVX02317	0.9960135	3.6400088e-06	0.001115079	0.0022466215	0.0053191306	0.0047248886	0.0010808284	0.0010612771	0.0005903917	0.0006260048	0.0
VVX02318	0.99702233	3.7363031e-06	0.0011250817	0.0021093525	0.004600783	0.0036439241	0.00035165824	0.00018272888	0.0004918648	0.00038712446	0.00022528322
VVX02319	0.99748445	2.414812e-06	0.0010847248	0.0021356416	0.0038545795	0.003297733	0.00016441561	9.447666e-05	0.0	0.0003173231	0.00042614847
VVX02320	0.9968979	4.2918778e-06	0.0011201301	0.00221886	0.004741154	0.0040017148	0.00025872776	9.579731e-05	0.00043660484	0.00034604032	0.0004227408
VVX02321	0.99720013	2.554304e-06	0.00087735604	0.0021921364	0.0036604598	0.0040411483	0.0002795472	0.0	0.0	0.0006075309	0.0005130045
VVX02323	0.997536	1.7717468e-06	0.0011661923	0.0023408993	0.0037977574	0.0034384553	0.0	0.0	0.0	0.0002681629	0.00037605249
VVX02324	0.99634606	4.089179e-06	0.0013038634	0.0024058246	0.004618642	0.0034451056	0.0005895836	0.0002784911	0.0009126209	0.000620482	0.0010749771
VVX02325	0.9968419	1.9859235e-06	0.0011816227	0.0023914482	0.0047927373	0.0037062305	0.0002435157	0.00029955275	0.00057226134	0.0004417882	0.00026813083
VVX02326	0.9967928	6.9070375e-06	0.0011491363	0.0021700338	0.0047163926	0.0040463256	0.00043335994	0.0	0.0004883011	0.00055454887	0.00039006377
